FECHA HECHO,CANTIDAD
22/02/2017,0.1
22/02/2017,0.085
22/02/2017,0.08
22/02/2017,0.1
22/02/2017,0.02
22/02/2017,0.1
22/02/2017,0.14
23/02/2017,0.06
23/02/2017,0.05
23/02/2017,0.08
23/02/2017,0.84
23/02/2017,0.06
23/02/2017,0.085
23/02/2017,0.068
23/02/2017,0.25
23/02/2017,0.06
23/02/2017,0.05
23/02/2017,0.049
23/02/2017,0.055
23/02/2017,0.469
23/02/2017,0.03
23/02/2017,0.015
23/02/2017,0.02
23/02/2017,0.012
23/02/2017,0.12
23/02/2017,0.03
23/02/2017,0.04
23/02/2017,0.03
24/02/2017,0.03
24/02/2017,0.05
24/02/2017,0.036
24/02/2017,0.12
24/02/2017,0.11
24/02/2017,0.1
24/02/2017,0.3
24/02/2017,0.05
24/02/2017,0.07
24/02/2017,0.04
24/02/2017,0.15
24/02/2017,0.05
25/02/2017,0.055
25/02/2017,0.07
25/02/2017,0.048
25/02/2017,0.025
25/02/2017,0.03
25/02/2017,0.5
25/02/2017,0.899
25/02/2017,0.501
25/02/2017,0.05
25/02/2017,0.08
25/02/2017,0.1
25/02/2017,0.155
25/02/2017,0.054
25/02/2017,0.08
25/02/2017,0.07
25/02/2017,0.09
25/02/2017,0.081
26/02/2017,0.185
26/02/2017,0.032
26/02/2017,0.016
26/02/2017,0.082
26/02/2017,0.04
26/02/2017,0.05
26/02/2017,0.055
27/02/2017,0.2
27/02/2017,0.051
27/02/2017,0.15
27/02/2017,0.006
27/02/2017,0.088
27/02/2017,0.1
27/02/2017,0.6
27/02/2017,0.035
27/02/2017,0.09
27/02/2017,0.2
27/02/2017,0.09
27/02/2017,0.14
27/02/2017,0.03
27/02/2017,0.05
27/02/2017,0.03
27/02/2017,0.05
28/02/2017,0.02
28/02/2017,0.062
28/02/2017,0.048
28/02/2017,0.025
28/02/2017,0.05
28/02/2017,0.496
28/02/2017,0.32
28/02/2017,0.282
28/02/2017,0.12
28/02/2017,0.05
28/02/2017,0.04
28/02/2017,0.058
01/03/2017,0.08
01/03/2017,0.49
01/03/2017,0.53
01/03/2017,0.04
01/03/2017,0.125
01/03/2017,0.045
01/03/2017,0.067
01/03/2017,0.04
01/03/2017,0.721
01/03/2017,0.06
01/03/2017,0.035
01/03/2017,1.0
01/03/2017,0.1
01/03/2017,0.068
02/03/2017,0.05
02/03/2017,0.06
02/03/2017,1.45
02/03/2017,0.12
02/03/2017,0.046
02/03/2017,0.055
02/03/2017,0.03
02/03/2017,0.05
02/03/2017,0.1
02/03/2017,2.0
02/03/2017,0.03
02/03/2017,0.04
02/03/2017,0.035
02/03/2017,0.06
02/03/2017,0.07
02/03/2017,0.05
02/03/2017,0.3
02/03/2017,0.06
03/03/2017,0.1
03/03/2017,0.451
03/03/2017,0.18
03/03/2017,0.098
03/03/2017,0.105
03/03/2017,0.5
03/03/2017,0.12
03/03/2017,0.03
03/03/2017,0.04
03/03/2017,0.04
03/03/2017,0.085
03/03/2017,0.06
03/03/2017,0.075
03/03/2017,0.412
03/03/2017,0.04
03/03/2017,0.08
03/03/2017,3.949
04/03/2017,0.07
04/03/2017,0.103
04/03/2017,0.05
04/03/2017,0.07
04/03/2017,0.062
04/03/2017,0.2
04/03/2017,1.1
04/03/2017,0.117
04/03/2017,0.402
04/03/2017,0.04
04/03/2017,0.06
04/03/2017,0.05
04/03/2017,0.068
04/03/2017,0.042
04/03/2017,0.05
04/03/2017,0.1
04/03/2017,0.025
04/03/2017,0.02
05/03/2017,6.0
05/03/2017,0.1
05/03/2017,0.048
05/03/2017,0.05
05/03/2017,0.05
05/03/2017,0.22
05/03/2017,0.028
05/03/2017,0.082
05/03/2017,0.04
05/03/2017,0.08
05/03/2017,0.07
05/03/2017,0.03
05/03/2017,0.052
06/03/2017,0.025
06/03/2017,2.0
06/03/2017,0.12
06/03/2017,0.021
06/03/2017,0.04
06/03/2017,0.07
06/03/2017,0.05
06/03/2017,0.105
06/03/2017,0.12
06/03/2017,0.2
07/03/2017,0.08
07/03/2017,0.13
07/03/2017,0.056
07/03/2017,0.08
07/03/2017,0.05
07/03/2017,0.045
07/03/2017,0.8
07/03/2017,0.07
08/03/2017,0.3
08/03/2017,0.11
08/03/2017,0.11
08/03/2017,0.11
08/03/2017,0.36
08/03/2017,0.007
08/03/2017,0.65
08/03/2017,0.03
08/03/2017,0.15
08/03/2017,0.08
08/03/2017,0.045
08/03/2017,0.056
08/03/2017,0.25
08/03/2017,0.18
08/03/2017,0.06
09/03/2017,0.05
09/03/2017,0.05
09/03/2017,0.05
09/03/2017,0.03
09/03/2017,0.06
09/03/2017,0.04
09/03/2017,0.046
09/03/2017,0.1
09/03/2017,0.014
10/03/2017,0.25
10/03/2017,1.92
10/03/2017,0.115
10/03/2017,0.048
10/03/2017,0.09
10/03/2017,0.057
10/03/2017,0.05
10/03/2017,0.04
10/03/2017,0.03
10/03/2017,0.114
10/03/2017,1.0
10/03/2017,1.3
10/03/2017,0.38
10/03/2017,0.03
10/03/2017,0.12
10/03/2017,0.095
10/03/2017,0.15
10/03/2017,0.032
10/03/2017,0.07
10/03/2017,0.15
10/03/2017,0.09
10/03/2017,0.5
10/03/2017,0.108
10/03/2017,0.08
11/03/2017,0.06
11/03/2017,0.06
11/03/2017,0.498
11/03/2017,0.05
11/03/2017,0.023
11/03/2017,0.06
11/03/2017,0.07
11/03/2017,0.836
11/03/2017,0.2
11/03/2017,1.1
11/03/2017,0.17
11/03/2017,0.05
11/03/2017,0.035
11/03/2017,0.06
11/03/2017,0.04
11/03/2017,0.086
11/03/2017,0.07
12/03/2017,0.65
12/03/2017,0.364
12/03/2017,0.023
12/03/2017,0.06
12/03/2017,0.08
12/03/2017,0.04
12/03/2017,0.06
12/03/2017,0.06
12/03/2017,0.06
12/03/2017,0.05
12/03/2017,0.03
12/03/2017,0.2
12/03/2017,0.8
12/03/2017,0.025
12/03/2017,0.04
12/03/2017,0.05
12/03/2017,0.04
13/03/2017,0.08
13/03/2017,0.12
13/03/2017,0.13
13/03/2017,0.04
13/03/2017,0.07
13/03/2017,0.065
13/03/2017,0.046
13/03/2017,0.08
13/03/2017,0.38
13/03/2017,0.06
13/03/2017,0.06
13/03/2017,0.045
14/03/2017,0.105
14/03/2017,0.07
14/03/2017,0.05
14/03/2017,0.095
14/03/2017,0.06
14/03/2017,0.15
14/03/2017,0.055
14/03/2017,0.06
14/03/2017,0.354
14/03/2017,0.125
14/03/2017,1.1
14/03/2017,1.0
15/03/2017,0.1
15/03/2017,0.002
15/03/2017,0.08
15/03/2017,0.015
15/03/2017,0.06
15/03/2017,0.1
15/03/2017,0.06
15/03/2017,0.185
15/03/2017,0.523
16/03/2017,0.2
16/03/2017,0.03
16/03/2017,0.06
16/03/2017,0.042
16/03/2017,0.04
16/03/2017,0.08
16/03/2017,0.1
16/03/2017,0.06
16/03/2017,0.08
16/03/2017,0.07
16/03/2017,0.035
16/03/2017,0.07
16/03/2017,0.06
16/03/2017,0.03
16/03/2017,0.036
16/03/2017,0.14
17/03/2017,0.05
17/03/2017,0.253
17/03/2017,0.02
17/03/2017,0.048
17/03/2017,0.055
17/03/2017,0.04
17/03/2017,0.596
17/03/2017,0.065
17/03/2017,0.5
17/03/2017,0.08
17/03/2017,0.12
17/03/2017,0.3
17/03/2017,0.07
17/03/2017,0.15
17/03/2017,0.07
17/03/2017,0.039
17/03/2017,0.12
18/03/2017,0.052
18/03/2017,0.198
18/03/2017,0.02
18/03/2017,1.0
18/03/2017,0.055
18/03/2017,0.06
18/03/2017,0.1
18/03/2017,0.48
18/03/2017,2.1
18/03/2017,0.06
19/03/2017,0.2
19/03/2017,0.067
19/03/2017,0.25
19/03/2017,0.05
19/03/2017,0.2
19/03/2017,0.34
19/03/2017,0.161
19/03/2017,1.161
19/03/2017,0.54
19/03/2017,0.045
19/03/2017,0.1
19/03/2017,0.07
19/03/2017,0.06
19/03/2017,0.035
20/03/2017,0.065
20/03/2017,0.06
20/03/2017,0.1
20/03/2017,0.035
20/03/2017,0.14
20/03/2017,0.4
20/03/2017,0.45
20/03/2017,0.06
20/03/2017,0.44
20/03/2017,0.08
20/03/2017,0.1
20/03/2017,0.073
20/03/2017,0.03
20/03/2017,0.12
21/03/2017,0.058
21/03/2017,0.1
21/03/2017,0.05
21/03/2017,0.03
21/03/2017,0.038
21/03/2017,0.06
21/03/2017,0.05
21/03/2017,0.06
21/03/2017,0.007
21/03/2017,0.04
21/03/2017,0.185
21/03/2017,0.06
21/03/2017,0.05
21/03/2017,0.01
21/03/2017,0.95
21/03/2017,0.053
21/03/2017,0.08
22/03/2017,0.12
22/03/2017,0.055
22/03/2017,0.1
22/03/2017,0.04
22/03/2017,0.075
22/03/2017,0.085
22/03/2017,0.56
22/03/2017,0.54
22/03/2017,0.01
22/03/2017,0.3
22/03/2017,0.06
22/03/2017,0.05
22/03/2017,0.026
22/03/2017,0.1
22/03/2017,0.1
23/03/2017,0.06
23/03/2017,0.09
23/03/2017,0.203
23/03/2017,0.197
23/03/2017,0.05
23/03/2017,0.06
23/03/2017,0.03
23/03/2017,0.15
23/03/2017,0.06
23/03/2017,0.08
23/03/2017,0.06
23/03/2017,0.05
23/03/2017,0.05
23/03/2017,1.0
24/03/2017,0.75
24/03/2017,0.06
24/03/2017,0.075
24/03/2017,0.3
24/03/2017,0.045
24/03/2017,0.03
24/03/2017,0.02
24/03/2017,5.6
24/03/2017,5.0
24/03/2017,0.03
24/03/2017,0.08
24/03/2017,0.07
24/03/2017,0.06
24/03/2017,3.612
24/03/2017,0.25
25/03/2017,0.1
25/03/2017,0.123
25/03/2017,0.03
25/03/2017,0.05
25/03/2017,0.1
25/03/2017,0.1
25/03/2017,0.71
25/03/2017,0.142
25/03/2017,0.05
25/03/2017,0.035
25/03/2017,0.09
25/03/2017,0.11
25/03/2017,0.046
25/03/2017,0.63
26/03/2017,0.03
26/03/2017,0.045
26/03/2017,0.002
26/03/2017,0.073
26/03/2017,0.04
26/03/2017,0.11
26/03/2017,0.035
26/03/2017,0.071
26/03/2017,0.095
26/03/2017,0.15
26/03/2017,0.06
26/03/2017,0.955
26/03/2017,0.02
26/03/2017,0.03
26/03/2017,0.1
26/03/2017,0.03
27/03/2017,0.032
27/03/2017,0.3
27/03/2017,0.19
27/03/2017,0.1
27/03/2017,0.04
27/03/2017,0.04
27/03/2017,0.15
27/03/2017,0.003
27/03/2017,0.115
27/03/2017,0.03
27/03/2017,0.198
27/03/2017,0.45
27/03/2017,0.04
27/03/2017,0.08
27/03/2017,0.035
28/03/2017,0.1
28/03/2017,0.03
28/03/2017,0.09
28/03/2017,0.04
28/03/2017,0.022
28/03/2017,0.12
28/03/2017,0.085
28/03/2017,0.055
28/03/2017,0.06
28/03/2017,0.005
28/03/2017,0.0469
28/03/2017,0.9
28/03/2017,0.031
28/03/2017,1.0
28/03/2017,0.1
28/03/2017,0.09
28/03/2017,0.353
29/03/2017,0.472
29/03/2017,0.08
29/03/2017,0.12
29/03/2017,0.001
29/03/2017,0.045
29/03/2017,0.1
29/03/2017,0.18
29/03/2017,0.05
29/03/2017,0.06
29/03/2017,0.08
29/03/2017,0.1
29/03/2017,0.1
29/03/2017,0.03
30/03/2017,0.036
30/03/2017,0.045
30/03/2017,0.08
30/03/2017,0.35
30/03/2017,0.08
30/03/2017,0.09
30/03/2017,0.04
30/03/2017,0.07
30/03/2017,0.035
30/03/2017,0.01
30/03/2017,0.08
30/03/2017,0.13
30/03/2017,0.06
30/03/2017,0.04
30/03/2017,0.025
31/03/2017,0.1
31/03/2017,0.1
31/03/2017,0.045
31/03/2017,0.04
31/03/2017,0.05
31/03/2017,0.06
31/03/2017,0.079
31/03/2017,0.373
31/03/2017,0.791
31/03/2017,1.02
31/03/2017,0.01
31/03/2017,0.035
31/03/2017,0.027
31/03/2017,0.07
31/03/2017,0.07
01/04/2017,0.1
01/04/2017,0.04
01/04/2017,0.045
01/04/2017,0.06
01/04/2017,0.05
01/04/2017,0.024
01/04/2017,0.024
01/04/2017,0.2
01/04/2017,0.293
01/04/2017,0.05
01/04/2017,0.014
01/04/2017,0.23
01/04/2017,0.029
01/04/2017,0.05
01/04/2017,0.03
01/04/2017,0.03
01/04/2017,0.6
01/04/2017,0.03
01/04/2017,0.9
02/04/2017,0.045
02/04/2017,0.04
02/04/2017,0.08
02/04/2017,0.34
02/04/2017,0.5
02/04/2017,0.035
02/04/2017,0.04
02/04/2017,0.032
02/04/2017,0.05
02/04/2017,0.06
02/04/2017,5.0
02/04/2017,0.085
02/04/2017,0.032
03/04/2017,0.102
03/04/2017,0.021
03/04/2017,0.1
03/04/2017,0.053
03/04/2017,0.07
03/04/2017,0.037
03/04/2017,0.025
03/04/2017,0.06
03/04/2017,0.07
03/04/2017,0.09
03/04/2017,0.04
03/04/2017,0.07
04/04/2017,0.135
04/04/2017,0.005
04/04/2017,0.48
04/04/2017,0.05
04/04/2017,0.07
04/04/2017,0.06
04/04/2017,0.25
04/04/2017,0.2
04/04/2017,0.16
04/04/2017,3.8
05/04/2017,0.08
05/04/2017,1.0
05/04/2017,0.96
05/04/2017,0.001
05/04/2017,0.055
05/04/2017,0.035
05/04/2017,0.08
05/04/2017,0.107
05/04/2017,0.065
05/04/2017,0.08
06/04/2017,0.08
06/04/2017,0.075
06/04/2017,0.604
06/04/2017,1.0
06/04/2017,0.04
06/04/2017,0.01
06/04/2017,0.07
07/04/2017,0.04
07/04/2017,0.03
07/04/2017,0.5
07/04/2017,0.137
07/04/2017,0.05
07/04/2017,0.07
07/04/2017,0.1
07/04/2017,0.086
08/04/2017,0.05
08/04/2017,0.25
08/04/2017,0.63
08/04/2017,0.095
08/04/2017,0.085
09/04/2017,3.2
09/04/2017,0.183
09/04/2017,0.04
09/04/2017,0.07
10/04/2017,5.0
10/04/2017,0.0374
11/04/2017,0.1
11/04/2017,0.032
11/04/2017,0.005
11/04/2017,0.01
11/04/2017,0.03
12/04/2017,0.115
12/04/2017,0.03
12/04/2017,0.03
12/04/2017,0.25
12/04/2017,0.9
12/04/2017,1.0
12/04/2017,0.04
13/04/2017,0.07
13/04/2017,0.093
13/04/2017,0.024
15/04/2017,2.358
15/04/2017,1.128
15/04/2017,0.08
15/04/2017,0.07
16/04/2017,0.2
16/04/2017,0.028
16/04/2017,0.03
17/04/2017,0.24
17/04/2017,0.408
17/04/2017,0.04
17/04/2017,0.06
17/04/2017,0.03
17/04/2017,0.06
17/04/2017,0.05
17/04/2017,0.2
18/04/2017,0.05
18/04/2017,0.1
18/04/2017,0.055
18/04/2017,0.064
18/04/2017,0.0598
18/04/2017,0.06
18/04/2017,0.06
18/04/2017,0.13
18/04/2017,0.05
18/04/2017,0.0901
18/04/2017,0.098
19/04/2017,0.08
19/04/2017,0.06
19/04/2017,0.17
19/04/2017,1.005
19/04/2017,0.07
19/04/2017,0.06
19/04/2017,0.06
19/04/2017,0.065
19/04/2017,0.032
19/04/2017,0.045
19/04/2017,0.085
20/04/2017,0.09
20/04/2017,0.045
20/04/2017,0.08
20/04/2017,0.08
20/04/2017,0.07
20/04/2017,0.032
21/04/2017,0.048
21/04/2017,0.08
21/04/2017,0.047
21/04/2017,0.061
21/04/2017,0.1
21/04/2017,0.09
21/04/2017,0.15
21/04/2017,0.04
21/04/2017,0.6
21/04/2017,1.0
22/04/2017,0.05
22/04/2017,0.065
22/04/2017,0.036
22/04/2017,0.285
22/04/2017,0.03
22/04/2017,0.04
22/04/2017,0.04
22/04/2017,0.12
22/04/2017,0.04
22/04/2017,0.07
22/04/2017,0.062
22/04/2017,0.08
22/04/2017,0.05
22/04/2017,0.85
23/04/2017,0.09
23/04/2017,2.0
23/04/2017,5.088
23/04/2017,0.1
23/04/2017,0.135
23/04/2017,0.06
23/04/2017,0.315
23/04/2017,0.05
23/04/2017,0.032
23/04/2017,0.065
24/04/2017,0.55
24/04/2017,0.12
24/04/2017,0.07
24/04/2017,4.0
24/04/2017,0.06
24/04/2017,0.025
24/04/2017,0.06
24/04/2017,0.06
24/04/2017,0.07
25/04/2017,0.037
25/04/2017,0.052
25/04/2017,0.08
25/04/2017,0.048
25/04/2017,1.001
25/04/2017,0.04
25/04/2017,0.04
